Zeit	Kanal A
(s)	(mV)

0.03210000	-4.48449800
0.03220000	-4.48449800
0.03230000	-5.60716000
0.03240000	-4.48449800
0.03250000	-5.60716000
0.03260000	-4.48449800
0.03270000	-5.60716000
0.03280000	-5.60716000
0.03290000	-4.48449800
0.03300000	-5.60716000
0.03310000	-5.60716000
0.03320000	-4.48449800
0.03330000	-4.48449800
0.03340000	-4.48449800
0.03350000	-5.60716000
0.03360000	-4.48449800
0.03370000	-4.48449800
0.03380000	-5.60716000
0.03390000	-5.60716000
0.03400000	-8.97207200
0.03410000	-4.48449800
0.03420000	-4.48449800
0.03430000	-4.48449800
0.03440000	-5.60716000
0.03450000	-4.48449800
0.03460000	-4.48449800
0.03470000	-4.48449800
0.03480000	-4.48449800
0.03490000	-4.48449800
0.03500000	-5.60716000
0.03510000	-4.48449800
0.03520000	-4.48449800
0.03530000	-4.48449800
0.03540000	-4.48449800
0.03550000	-4.48449800
0.03560000	-6.72982200
0.03570000	-4.48449800
0.03580000	-4.48449800
0.03590000	-4.48449800
0.03600000	-4.48449800
0.03610000	-5.60716000
0.03620000	-4.48449800
0.03630000	-4.48449800
0.03640000	-4.48449800
0.03650000	-4.48449800
0.03660000	-4.48449800
0.03670000	-4.48449800
0.03680000	-4.48449800
0.03690000	-5.60716000
0.03700000	-4.48449800
0.03710000	-6.72982200
0.03720000	-4.48449800
0.03730000	-4.48449800
0.03740000	-4.48449800
0.03750000	-4.48449800
0.03760000	-4.48449800
0.03770000	-4.48449800
0.03780000	-4.48449800
0.03790000	-4.48449800
0.03800000	-4.48449800
0.03810000	-3.36491100
0.03820000	-5.60716000
0.03830000	-3.36491100
0.03840000	-4.48449800
0.03850000	-4.48449800
0.03860000	-3.36491100
0.03870000	-4.48449800
0.03880000	-4.48449800
0.03890000	-5.60716000
0.03900000	-4.48449800
0.03910000	-3.36491100
0.03920000	-4.48449800
0.03930000	-4.48449800
0.03940000	-3.36491100
0.03950000	-3.36491100
0.03960000	-3.36491100
0.03970000	-3.36491100
0.03980000	-3.36491100
0.03990000	-4.48449800
0.04000000	-4.48449800
0.04010000	-4.48449800
0.04020000	-4.48449800
0.04030000	-3.36491100
0.04040000	-5.60716000
0.04050000	-4.48449800
0.04060000	-3.36491100
0.04070000	-10.09473000
0.04080000	-4.48449800
0.04090000	-4.48449800
0.04100000	-4.48449800
0.04110000	-4.48449800
0.04120000	-4.48449800
0.04130000	-3.36491100
0.04140000	-5.60716000
0.04150000	-5.60716000
0.04160000	-3.36491100
0.04170000	-3.36491100
0.04180000	-3.36491100
0.04190000	-8.97207200
0.04200000	-4.48449800
0.04210000	-4.48449800
0.04220000	-4.48449800
0.04230000	-3.36491100
0.04240000	-3.36491100
0.04250000	-3.36491100
0.04260000	-4.48449800
0.04270000	-3.36491100
0.04280000	-5.60716000
0.04290000	-3.36491100
0.04300000	-4.48449800
0.04310000	-4.48449800
0.04320000	-4.48449800
0.04330000	-3.36491100
0.04340000	-3.36491100
0.04350000	-4.48449800
0.04360000	-4.48449800
